Academia Economic Papers 	Academia Econ. Pap.
Food Sci. Technol. Int. 	Food Science and Technology International
Free Radical Biol. Med. 	Free Radical Biology and Medicine
Free Radical Res. 	Free Radical Research
Fresenius Environ. Bull. 	Fresenius Environment bulletin
Fresenius J. Anal. Chem. 	Fresenius Journal of Analytical Chemistry
Front Sci. Ser. 	Frontier Science Series
Fuel Process. Technol. 	Fuel Processing Technology
Fuel Sci. Technol. Int. 	Fuel Science and Technology International
Fullerene Sci. Technol. 	Fullerene Science and Technology
Funct. Integr. Genomics 	Functional and Integrative Genomics
Fundam. Appl. Toxicol. 	Fundamental and Applied Toxicology
Fusion Eng. Des. 	Fusion Engineering and Design
Fusion Technol. 	Fusion Technology
 	 
G	Back to Top
Galvanotechnik 	Galvanotechnik
Gas Sep. Purif. 	Gas Separation and Purification
Gazz. Chim. Ital. 	Gazzetta Chimica Italiana
Gefahrstoffe - Reinhalt. Luft 	Gefahrstoffe Reinhaltung der Luft
Genet. Anal. - Biomol. Eng. 	Genetic Analysis - Biomolecular Engineering
Geochem. Geophys. Geosyst. 	Geochemistry, Geophysics, Geosystems
Geochem. J. 	Geochemical Journal
Geochem. Trans. 	Geochemical Transactions
Geochem.: Explor. Environ., Anal. 	Geochemistry: Exploration, Environment, Analysis
Geochim. Cosmochim. Acta 	Geochimica et Cosmochimica Acta
Geol Geofiz 	Geologiya i Geofizika
Geomicrobiol. J. 	Geomicrobiology Journal
Glass Ceram. 	Glass and Ceramics
Glass Phys. Chem 	Glass Physics and Chemistry
Glass Res. 	Glass Research
Glass Sci. Technol. 	Glass Science and Technology
Glass Technol. 	Glass Technology
Global Biogeochem. Cycles 	Global Biogeochemical Cycles
Global J. Pure Appl. Sci. 	Global Journal of Pure and Applied Sciences
Glycoconjugate J. 	Glycoconjugate Journal
Green Chem. 	Greem Chemistry
Ground Water Monit. Rem. 	Ground Water Monitoring and Remediation
 	 
H	Back to Top
Handb. Exp. Pharmacol. 	Handbook of Experimental Pharmacology
Hazard. Waste Hazard. Mater. 	Hazardous Waste and Hazardous Materials
HeIv. Chim. Acta 	HeIvetica Chimica Acta
Health Phys. 	Health Physics
Heat Mass Transfer. 	Heat and Mass Transfer
Heat Treat. Met. 	Heat Treatment of Metals
Heteroat. Chem 	Heteroatom Chemistry
Heterocycl. Commun. 	Heterocyclic Communications
Heterogen. Chem. Rev. 	Heterogeneous Chemistry Reviews
High Energ. Chem. 	High Energy Chemistry
High Perform. Polym. 	High Performance Polymers
High Temp. Mater. Processes (London) 	High Temperature Materials and Processes
High Temp. Mater. Processes (New York) 	High Temperature Material Processes
Holz Roh Werkst. 	Holz als Roh und Werkstoff
Hoppe-Seyler's Z. Physiol. Chem. 	Hoppe-Seyler's Zeitschrift fur Physiologische Chemie
HRC J. High Resolut. Chromatogr. 	HRC Journal of High Resolution Chromatography
Hung. J. Ind. Chem. 	Hungarian Journal of Industrial Chemistry
Hydrocarbon Process., Int. Ed. 	Hydrocarbon Processing, International Edition
Hyperfine Interact. 	Hyperfine Interactions
 	 
I	Back to Top
IEEE Sens. J. 	IEEE Sensors Journal
Ind. Diamond Rev. 	Industrial Diamond Review
Ind. Eng. Chem. 	Industrial and Engineering Chemistry
Ind. Eng. Chem., Anal. Ed. 	Industrial and Engineering Chemistry, Analytical Edition
Ind. Eng. Chem. Fundam. 	Industrial and Engineering Chemistry Fundamentals
Ind. Eng. Chem. Res. 	Industrial and Engineering Chemistry Research
Indian J. Biochem. Biophys. 	Indian Journal of Biochemistry and Biophysics
Indian J. Chem. Technol. 	Indian Journal of Chemical Technology
Indian J. Chem., Sect A 	Indian Journal of Chemistry Section A: Inorganic, Bio-inorganic, Physical, Theoretical and Analytical Chemistry
Indian J. Chem., Sect B 	Indian Journal of Chemistry Section B: Organic Chemistry including Medicinal Chemistry
Indian J. Eng. Mater. Sci. 	Indian Journal of Engineering and Materials Science
Indian J. Heterocycl. Chem. 	Indian Journal of Heterocyclic Chemistry
Indian J. Pure Appl. Phys. 	Indian Journal of Pure and Applied Physics
Indian J. Technol. 	Indian Journal of Technology
Ing. Quim. 	Ingeniera Quimica (Madrid)
Infrared Phys. Technol. 	Infrared Physics and Technology
Inorg. Chem. 	Inorganic Chemistry
Inorg. Chem. Commun. 	Inorganic Chemistry Communications
Inorg. Chim. Acta 	Inorganica Chimica Acta
Inorg. Mater. 	Inorganic Materials
Inorg. React. Mech. 	Inorganic Reaction Mechanisms
Inorg. Synth. 	Inorganic Syntheses
Insect Biochem. Mol. Biol. 	Insect Biochemisry and Molecular Biology
Instrum Sci. Technol. 	Instrumentation Science and Technology
Int. Biodeterior. Biodegrad. 	International Biodeterioration and Biodegradation
Int. DATA Ser., Sel. Data Mixtures, Ser. A 	International DATA Series, Selected Data on Mixtures, Series A
Int. J. Adhes. Adhes. 	International Journal of Adhesion and Adhesives
Int. J. Biochem. 	International Journal of Biochemistry
Int. J. Biochem. Cell Biol. 	International Journal of Biochemistry and Cell Biology
Int. J. Bio-Chromatogr. 	International Journal of Biochromatography
Int. J. Biol. Macromol. 	International Journal of Biological Macromolecules
Int. J. Cast Met. Res. 	International Journal of Cast Metals Research
Int. J. Chem. Kinet. 	International Journal of Chemical Kinetics
Int. J. Environ. Anal. Chem. 	International Journal of Environment Analytical Chemistry
Int. J. Fatigue 	International Journal of Fatigue
Int. J. Heat Fluid Flow 	International Journal of heat and fluid flow
Int. J. Heat Mass Transfer 	International Journal of Heat and Mass Transfer
Int. J. Hydrogen Energy 	International Journal of Hydrogen Energy
Int. J. Immunopharmacol 	International Journal of Immunopharmacology
Int. J. Inorg. Mater. 	International Journal of Inorganic Materials
Int. J. Mass spectrom. 	International Journal of Mass Spectrometry
Int. J. Mass Spectrom. Ion Processes 	International Journal of Mass Spectrometry and Ion Processes
Int. J. Miner. Process. 	International Journal of Mineral Processing
Int. J. Mod Phys B 	International Journal of Modern Physics B
Int. J. Multiphase Flow 	International Journal of Multiphase Flow
Int. J. Numer. Methods Fluids 	International Journal for Numerical Methods in Fluids
Int. J. Oncol. 	International Journal of Oncology
Int. J. Pept. Protein Res. 	International Journal of Peptide and Protein Research
Int. J. Pharm. 	International Journal of Pharmaceutics
Int. J. Phytorem. 	International Journal of Phytoremediation
Int. J. Plast. 	International Journal of Plasticity
Int. J. Polym. Anal. Charact. 	International Journal of Polymer Analysis and Characterization
Int. J. Polymer. Mater. 	International Journal of Polymeric Materials
Int. J. Powder Metall. 	International Journal of Powder Metallurgy
Int. J. Quantum Chem 	International Journal of Quantum Chemistry
Int. J. Radiat Biol. 	International Journal of Radiation Biology
Int. J. Refract. Met. Hard Mater. 	International Journal of Refractory Metals and Hard Materials
Int. J. Self-Propag. High-Temp Synth. 	International Journal of Self-Propagating High-Temperature Synthesis
Int. J. Thermophys. 	International Journal of Thermophysics
Int. Mater. Rev. 	International Materials Reviews
Int. Polym. Proc. 	International Polymer Processing
Int. Rev. Phys. Chem. 	International Reviews in Physical Chemistry
Interface Sci. 	Interface Science
Internet J. Vib. Spectro. 	Internet Journal of Vibrational Spectroscopy
Internet J. Chem. 	Internet Journal of Chemistry
Inz. Chem. Procesowa 	Inzynieria Chemiczna i Procesowa
Ironmaking Steelmaking 	Ironmaking and Steelmaking
ISIJ Int. 	ISIJ International
Isr. J. Chem. 	Israel Journal of Chemistry
 	 
J	Back to Top
J. Adhes. 	Journal of Adhesion
J. Adhes. Sci. Technol. 	Journal of Adhesion Science and Technology
J. Adv. Mater. 	Journal of Advanced Materials
J. Aerosol Sci 	Journal of Aerosol Science
J. Agric. Food. Chem. 	Journal of Agricultural and Food Chemistry
J. Air Waste Manage. Assoc. 	Journal of the Air and Waste Management Association
J. Alloys Compd. 	Journal of Alloys and Compounds
J. Am. Ceram. Soc. 	Journal of the American Ceramic Society
J. Am. Chem. Soc. 	Journal of the American Chemical Society
J. Am. Oil Chem. Soc. 	Journal of the American Oil Chemists Society
J. Am. Soc. Brew. Chem. 	Journal of the American Society of Brewing Chemists
J. Am. Soc. Mass. Spectrom. 	Journal of the American Society for Mass Spectrometry
J. Amer. Chem. Soc. 	Journal of the American Chemical Society
J. Anal. Appl. Pyrolysis 	Journal of Analytical and Applied Pyrolysis
J. Anal. At. Spectrom. 	Journal of Analytical Atomic Spectrometry
J. Anal. Chem. 	Journal of Analytical Chemistry
J. Anal. Toxicol. 	Journal of Analytical Toxicology
J. Antibiot. 	Journal of Antibiotics
J. Antimicrob. Chemother. 	Journal of Antimicrobial Chemotherapy
J. AOAC Int. 	Journal of AOAC International
J. Appl. Bacteriol. 	Journal of Applied Bacteriology
J. Appl. Biomater. 	Journal of Applied Biomaterials
J. Appl. Crystallogr. 	Journal of Applied Crystallography
J. Appl. Electrochem. 	Journal of Applied Electrochemistry
J. Appl. Phycol. 	Journal of Applied Phycology
J. Appl. Phys. 	Journal of Applied Physics
J. Appl. Polym. Sci. 	Journal of Applied Polymer Science
J. Appl. Spectrosc. 	Journal of Applied Spectroscopy
J. Appl. Toxicol. 	Journal of Applied Toxicology
J. Asian Nat. Prod. Res. 	Journal of Asian Natural Products Research
J. Autom. Chem. 	Journal of Automatic Chemistry
J. Autom. Methods Manage. Chem. 	Journal of Automated Methods & Management in Chemistry
J. Bacteriol. 	Journal of Bacteriology
J. Bioact. Compat. Polym. 	Journal of Bioactive and Bompatible Polymers
J. Biochem. 	Journal of Biochemistry
J. Biochem. Bioph. Methods 	Journal of Biochemical and Biophysical Methods
J. Biol. Chem. 	Journal of Biological Chemistry
J. Biol. Inorg. Chem. 	Journal of Biological Inorganic Chemistry
J. Biolumin. Chemilumin. 	Journal of Bioluminescence and Chemiluminescence
J. Biomater. Appl. 	Journal of Biomaterials Applications
J. Biomater. Sci., Polym. Ed. 	Journal of Biomaterials Science Polymer Edition
J. Biomed. Mater. Res. 	Journal of Biomedial Materials Research
J. Biomol. NMR 	Journal of Biomolecular NMR
J. Biomol. Struct. Dyn. 	Journal of Biomolecular Structure and Dynamics
J. Biotechnol. 	Journal of Biotechnology
J. Can. Pet. Technol. 	Journal of Canadian Petroleum Technology
J. Carbohydr. Chem. 	Journal of Carbohydrate Chemistry
J. Cardiovasc. Pharmacol. 	Journal of Cardiovascular Pharmacology
J. Catal. 	Journal of Catalysis
J. Cell. Biochem. 	Journal of Cellular Biochemistry
J. Cell Biol. 	Journal of Cell Biology
J. Cell. Physiol. 	Journal of Cellular Physiology
J. Cell Sci. 	Journal of Cell Science
J. Ceram. Soc. Jpn. 	Journal of the Ceramic Society of Japan
J. Chem. Crystallogr. 	Journal of Chemical Crystallography
J. Chem. Ecol. 	Journal of Chemical Ecology
J. Chem. Educ. 	Journal of Chemical Education
J. Chem. Eng. Data 	Journal of Chemical and Engineering Data
J. Chem. Eng. Jpn. 	Journal of Chemical Engineering of Japan
J. Chem. Inf. Comput. Sci. 	Journal of Chemical Information and Computer Science
J. Chem. Neuroanat. 	Journal of Chemical Neuroanatomy
J. Chem. Phys. 	Journal of Chemical Physics
J. Chem. Res., Synop . 	Journal of Chemical Research Synopsis
J. Chem. Soc. 	Journal of the Chemical Society
J. Chem. Soc. Pak. 	Journal of the Chemical Society of Pakistan
J. Chem. Soc., Chem. Commun. 	Journal of the Chemical Society, Chemical Communications
J. Chem. Soc., Dalton Trans. 	Journal of the Chemical Society, Dalton Transactions
J. Chem. Soc., Faraday Trans. 	Journal of the Chemical Society, Faraday Transactions
J. Chem. Soc., Perkin Trans. 1 	Journal of the Chemical Society, Perkin Transactions 1
J. Chem. Soc., Perkin Trans. 2 	Journal of the Chemical Society, Perkin Transactions 2
J. Chem. Technol. Biotechnol. 	Journal of Chemical Technology and Biotechnology
J. Chem. Thermodyn. 	Journal of Chemical Thermodynamics
J. Chemom. 	Journal of Chemometrics
J. Chim. Phys. Phys.- Chim. Biol. 	Journal de Chimie Physique et de Physico-Chimie Biologique
J. Chin. Chem. Soc. 	Journal of the Chinese Chemical Society
J. Chin. Inst. Chem. Eng, 	Journal of the Chinese Institute of Chemical Engineers
J. Chromatogr. 	Journal of Chromatography
J. Chromatogr. A 	Journal of Chromatography A
J. Chromatogr. B 	Journal of Chromatography B
J. Chromatogr. Sci. 	Journal of Chromatographic Science
J. Clin. Endocrinol. Metab. 	Journal of Clinical Endocrinology and Metabolism
J. Clin. Microbiol. 	Journal of Clinical Microbiology
J. Cluster Sci. 	Journal of Cluster Science
J. Coat. Technol. 	Journal of Coatings Technology
J. Colloid Interface Sci. 	Journal of Colloid and Interface Science
J. Comb. Chem. 	Journal of Combinatorial Chemistry
J. Compos. Mater. 	Journal of Composite Materials
J. Compos. Tech. Res. 	Journal of Composites Technology and Research
J. Comput. Aided Mater. Des. 	Journal of Computer-Aided Materials Design
J. Comput. Aided Mol. Des. 	Journal of Computer-Aided Molecular Design
J. Comput. Chem. 	Journal of Computational Chemistry
J. Contam. Hydrol. 	Journal of Contaminant Hydrology
J. Controlled Release 	Journal of Controlled Release
J. Coord. Chem. 	Journal of Coordination Chemistry
J. Cryst. Growth 	Journal of Crystal Growth
J. Dairy Sci. 	Journal of Dairy Science
J. Dispersion Sci. Technol. 	Journal of Dispersion Science and Technology
J. Elastomers Plast. 	Journal of Elastomers and Plastics
J. Electroanal. Chem. 	Journal of Electroanalytical Chemistry
J. Electroceram. 	Journal of Electroceramics
J. Electrochem. Soc. 	Journal of the Electrochemical Society
J. Electron. Mater. 	Journal of Electronic Materials
J. Electron Microsc. 	Journal of Electron Microscopy
J. Electron. Spectrosc. Relat. Phenom. 	Journal of Electron Spectroscopy and Related Phenomena
J. Endocrinol. 	Journal of Endocrinology
J. Endotoxin Res. 	Journal of Endotoxin Research
J. Eng. Mater. Technol. 	Journal of Engineering Materials and Technology
J. Environ. Biol. 	Journal of Environment biology
J. Environ. Eng. 	Journal of Environment Engineering
J. Environ. Health 	Journal of Environment Health
J. Environ. Manage. 	Journal of Environment Management
J. Environ. Monit. 	Journal of Environmental Monitoring
J. Environ. Qual. 	Journal of Environment Quality
J. Environ. Radioact. 	Journal of Environment Radioactivity
J. Environ. Sci. Health., Part A 	Journal of Environment Science and Health, Part A Environmental Science
J. Environ. Sci. Health., Part B 	Journal of Environment Science and Health, Part B Pesticides
J. Enzym Inhib. 	Journal of Enzyme Inhibition
J. Essent. Oil Res. 	Journal of Essential Oil Research
J. Ethnopharmacol. 	Journal of Ethnopharmacology
J. Eur. Ceram. Soc. 	Journal of the European Ceramic Society
J. Exp. Biol. 	Journal of Experimental Biology
J. Exp. Bot. 	Journal of Experimental Botany
J. Exposure Anal. Environ. Epidemiol. 	Journal of Exposure Analysis and Environment Epidemiology
J. Ferment. Bioeng. 	Journal of Fermentation and Bioengineering
J. Fire Sci. 	Journal of Fire Sciences
J. Fluid Mech. 	Journal of Fluid Mechanics
J. Fluids Eng. 	Journal of Fluids Engineering
J. Fluorine Chem. 	Journal of Fluorine Chemistry
J. Food Biochem. 	Journal of Food Biochemistry
J. Food Eng. 	Journal of Food Engineering
J. Food Lipids 	Journal of Food Lipids
J. Food Prot. 	Journal of Food Protection
J. Food Sci. 	Journal of Food Science
J. Gen. Appl. Microbiol. 	Journal of General and Applied Microbiology
J. Gen. Microbiol. 	Journal of General Microbiology
J. Hazard. Mater. 	Journal of Hazardous materials
J. Heat Transfer 	Journal of Heat Transfer
J. Heterocycl. Chem. 	Journal of Heterocyclic Chemistry
J. High. Resolut. Chromatogr. 	Journal of High Resolution Chromatography
J. Histochem. Cytochem. 	Journal of Histochemistry and Cytochemistry
J. Hypertens. 	Journal of Hypertension
J. Imaging Sci. Technol. 	Journal of Imaging Science and Technology
J. Inclusion Phenom. Mol. Recognit. Chem. 	Journal of Inclusion Phenomena and Molecular Recognition in Chemistry
J. Ind. Microbiol. 	Journal of Industrial Microbiology
J. Indian Chem. Soc. 	Journal of the Indian Chemical Society
J. Ind. Microbiol. Biotechnol. 	Journal of Industrial Microbiology and Biotechnology
J. Inorg. Biochem. 	Journal of Inorganic Biochemistry
J. Inorg. Nucl. Chem. 	Journal of Inorganic and Nuclear Chemistry
J. Inorg. Organomet. Polym. 	Journal of Inorganic and Organometallic Polymers
J. Inst. Chem. 	Journal of Institute of Chemists (India)
J. Inst. Environ. Sci. 	Journal of the Institute of Environment Sciences
J. Inst. Water Environ. Manage. 	Journal of the Institution of Water and Environment Management
J. Intell. Mater. Syst. Struct. 	Journal of Intelligent Material Systems and Structures
J. Interferon Cytokine Res. 	Journal of Interferon and Cytokine Research
J. Interferon Res. 	Journal of Interferon Research
J. Jpn. Inst. Met. 	Journal of the Japan Institute of Metals
J. Korean Chem. Soc. 	Journal of the Korean Chemical Society
J. Labelled Compd. Radiopharm. 	Journal of Labelled Compounds and Radiopharmaceuticals
J. Lipid Mediators 	Journal of Lipid Mediators
J. Lipid Mediators Cell Signalling 	Journal of Lipid Mediators and Cell Signalling
J. Lipid Res. 	Journal of Lipid Research
J. Liq. Chromatogr. 	Journal of Liquid Chromatography
J. Liq. Chromatogr. Related Technol. 	Journal of Liquid Chromatography and Related Technologies
J. Low Temp. Phys. 	Journal of Low Temperature Physics
J. Lumin. 	Journal of Luminescence
J. Macromol. Sci., Phys. 	Journal of Macromolecular Science - Physics
J. Macromol. Sci., Polym. Rev. 	Journal of Macromolecular Science Polymer Reviews
J. Macromol. Sci., Pure Appl. Chem. 	Journal of Macromolecular Science Pure and Applied Chemistry
J. Macromol. Sci., Rev. Macromol. Chem. Phys. 	Journal of Macromolecular Science - Reviews in Macromolecular Chemistry and Physics
J. Magn. Magn. Mater. 	Journal of Magnetism and Magnetic Materials
J. Magn. Reson., Ser A 	Journal of Magnetic Resonance Series A
J. Magn. Reson., Ser B 	Journal of Magnetic Resonance Series B
J. Mass Spectrom. 	Journal of Mass Spectrometry
J. Mater. Chem. 	Journal of Materials Chemistry
J. Mater. Civ. Eng. 	Journal of Materials in Civil Engineering
J. Mater. Cycles Waste Manage. 	Journal of Material Cycles and Waste Management
J. Mater. Eng. Perform. 	Journal of Materials Engineering and Performance
J. Mater. Process. Manuf. Sci. 	Journal of Materials Processing and Manufacturing Science
J. Mater. Process. Technol. 	Journal of Materials Processing Technology
J. Mater. Res. 	Journal of Materials Research
J. Mater. Sci. Lett. 	Journal of Materials Science Letters
J. Mater. Sci. - Mater. Electron. 	Journal of Materials Science - Materials in Electronics
J. Mater. Sci. - Mater. Med. 	Journal of Materials Science Materials in Medicine
J. Mater. Sci. Technol. 	Journal of Materials Science and Technology
J. Mater. Synth. Process. 	Journal of Materials Synthesis and Processing
J. Math. Chem. 	Journal of Mathematical Chemistry
J. Med. Chem. 	Journal of Medicinal Chemistry
J. Membr. Biol. 	Journal of Membrane Biology
J. Membr. Sci. 	Journal of Membrance Science
J. Microbiol. Biotechnol. 	Journal of Microbiology and Biotechnology
J. Microbiol. Methods 	Journal of Microbiological Methods
J. Microcolumn Sep. 	Journal of Microcolumn Separations
J. Microelectromech. Syst. 	Journal of Microelectronic Systems
J. Microencapsulation 	Journal of Microencapsulation
J. Mol. Biol. 	Journal of Molecular Biology
J. Mol. Catal. 	Journal of Molecular Catalysis
J. Mol. Catal. A: Chem. 	Journal of Molecular Catalysis A: Chemical
J. Mol. Catal. B: Enzym. 	Journal of Molecular Catalysis B: Enzymatic
J. Mol. Graphics Modell. 	Journal of Molecular Graphics and Modelling
J. Mol. Liq. 	Journal of Molecular Liquids
J. Mol. Microbiol. Biotechnol. 	Journal of Molecular Microbiology and Biotechnology
J. Mol. Model. 	Journal of Molecular Modeling
J. Mol. Spectrosc. 	Journal of Molecular Spectroscopy
J. Mol. Struct. 	Journal of Molecular Structure
J. Nanopart. Res. 	Journal of Nanoparticle Research
J. Nat. Prod. 	Journal of Natural Products
J. Near Infrared Spectrosc. 	Journal of Near Infrared Spectroscopy
J. Neurochem. 	Journal of Neurochemistry
J. Neurosci. 	Journal of Neuroscience
J. Neurosci. Res. 	Journal of Neuroscience Research
J. New Mater. Electrochem. Syst. 	Journal of New Materials for Electrochemical Systems
J. Non-Cryst. Solids 	Journal of Non-Crystalline Solids
J. Non-Equilib. Thermodyn. 	Journal of Non-Equilibrium Thermodynamics
J. Nucl. Mater. 	Journal of Nuclear Materials
J. Nucl. Sci. Technol. 	Journal of Nuclear Science and Technology
J. Opt. Soc. Am. B: Opt. Phys. 	Journal of the Optical Society of America B: Optical Physics
J. Org. Chem. 	Journal of Organic Chemistry
J. Organomet. Chem. 	Journal of Organometallic Chemistry
J. Pet. Sci. Technol. 	Journal of Petroleum Science and Technology
J. Pharm. Biomed. Anal. 	Journal of Pharmaceutical and Biomedical Analysis
J. Pharm. Pharmacol. 	Journal of Pharmacy and Pharmacology
J. Pharm. Sci. 	Journal of Pharmaceutical Sciences
J. Pharmacol. Exp. Ther. 	Journal of Pharmacology and Experimental Therapeutics
J. Pharmacol. Toxicol. Methods 	Journal of Pharmacological and Toxicological Methods
J. Phase Equilib. 	Journal of Phase Equilibrium
J. Photochem. Photobiol., A 	Journal of Photochemistry and Photobiology A
J. Photochem. Photobiol., B 	Journal of Photochemistry and Photobiology B
J. Photopolym. Sci. Technol. 	Journal of Photopolymer Science and Technology
J. Phys. A: Math. Gen. 	Journal of Physics A: Mathematical and General
J. Phys. B: At., Mol. Opt. Phys. 	Journal of Physics B: Atomic Molecular and Optical Physics
J. Phys. Chem. 	Journal of Physical Chemistry
J. Phys. Chem. A 	Journal of Physical Chemistry A
J. Phys. Chem. B 	Journal of Physical Chemistry B
J. Phys. Chem. Ref. Data 	Journal of Physical and Chemical Reference Data
J. Phys. Chem. Solids 	Journal of Physics and Chemistry of Solids
J. Phys. D: Appl. Phys. 	Journal of Physics D: Applied Physics
J. Phys. G: Nucl. Part. Phys. 	Journal of Physics G: Nuclear and Particle Physics
J. Phys. I 	Journal de Physique I
J. Phys. II 	Journal de Physique II
J. Phys. III 	Journal de Physique III
J. Phys. IV 	Journal de Physique IV
J. Phys. Org. Chem. 	Journal of Physical Organic Chemistry
J. Phys. Soc. Jpn. 	Journal of the Physical Society of Japan
J. Phys.: Condens. Matter 	Journal of Physics: Condensed Matter
J. Planar. Chromatogr. - Mod. TLC 	Journal of Planar Chromatography - Modern TLC
J. Plant Biochem. Biotechnol. 	Journal of Plant Biochemistry and Biotechnology
J. Polym. Eng. 	Journal of Polymer Engineering
J. Polym. Environ. 	Journal of Polymers and the Environment
J. Polym. Mater. 	Journal of Polymer Materials
J. Polym. Sci., Part A: Polym. Chem. 	Journal of Polymer Science Part A: Polymer Chemistry
J. Polym. Sci., Part B: Polym. Phys. 	Journal of Polymer Science Part B: Polymer Physics
J. Porous Mater. 	Journal of Porous Materials
J. Porphyrins Phthalocyanines 	Journal of Porphyrins and Phthalocyanines
J. Power Sources 	Journal of Power Sources
J. Prakt. Chem. /Chem-Ztg 	Journal fur Praktische Chemie - Chemiker Zeitung
J. Propul. Power 	Journal of Propulsion and Power
J. Protein Chem. 	Journal of Protein Chemistry
J. Pulp Pap. Sci. 	Journal of Pulp and Paper Science
J. Quant. Spectrosc. Radiat. Transfer 	Journal of Quantitative Spectroscopy and Radiative Transfer
J. Radioanal. Nucl. Chem. 	Journal of Radioanalytical and Nuclear Chemistry
J. Radioanal. Nucl. Chem. Art. 	Journal of Radioanalytical and Nuclear Chemistry Articles
J. Radioanal. Nucl. Chem. Lett. 	Journal of Radioanalytical and Nuclear Chemistry Letters
J. Raman Spectrosc. 	Journal of Raman Specroscopy
J. Rapid Methods Autom. Microbiol. 	Journal of Rapid Methods and Automation in Microbiology
J. Reinf. Plast. Compos. 	Journal of Reinforced Plastics and Composites
J. Rheol. 	Journal of Rheology
J. S. Afr. Inst. Min. Metall. 	Journal of the South African Institute of Mining and Metallurgy
J. Sci. Food Agric. 	Journal of the Science of Food and Agriculture
J. Sci. Ind. Res. 	Journal of Scientific and Industrial Research
J. Serb. Chem. Soc. 	Journal of the Serbian Chemical Society
J. Sep. Sci. 	Journal of Separation Science
J. Sol-Gel Sci. Technol. 	Journal of Sol-Gel Science and Technology
J. Solid State Chem. 	Journal of Solid State Chemistry
J. Solid State Electrochem. 	Journal of Solid State Electrochemistry
J. Solution Chem. 	Journal of Solution Chemistry
J. Steroid Biochem. Mol. Biol. 	Journal of Steroid Biochemistry and Molecular Biology
J. Strain Anal. Eng. Des. 	Journal of Strain Analysis for Engineering Design
J. Struct. Chem. 	Journal of Structural Chemistry
J. Supercrit. Fluids 	Journal of Supercritical Fluids
J. Synth. Org. Chem Jpn. 	Journal of Synthetic Organic Chemistry, Japan
J. Test. Eval. 	Journal of Testing and Evaluation
J. Therm. Anal. 	Journal of Thermal Analysis
J. Therm. Anal. Calorim. 	Journal of Thermal Analysis and Calorimetry
J. Therm. Spray Technol. 	Journal of Thermal Spray Technology
J. Thermophys Heat Transfer 	Journal of Thermophysics and Heat Transfer
J. Thermoplast. Compos. Mater. 	Journal of Thermoplastic Composite Materials
J. Toxicol. Environ. Health 	Journal of Toxicology and Environment Health
J. Toxicol., Clin. Toxicol. 	Journal of Toxicology - Clinical Toxicology
J. Toxicol., Cutaneous Ocul. Toxicol. 	Journal of Toxicology - Cutaneous and Ocular Toxicology
J. Toxicol., Toxin Rev. 	Journal of Toxicology - Toxin Reviews
J. Trace Elem. Exp. Med. 	Journal of Trace Elements in Experimental Medicine
J. Trace Elem. Med Biol. 	Journal of Trace Elements in Medicine and Biology
J. Trace Microprobe Tech. 	Journal of Trace and Microprobe Techniques
J. Vac. Sci. Technol., A 	Journal of Vacuum Science and Technology A
J. Vac. Sci. Technol., B 	Journal of Vacuum Science and Technology B
J. Wood Chem. Technol. 	Journal of Wood Chemistry and Technology
JACS 	Journal of the American Chemical Society
JOM 	JOM Journal of the Minerals Metals and Materials Society
JPC J. Planar Chromatogr. - Mod. TLC 	JPC Journal of Planar Chromatography Modern TLC
Jpn. J. Appl. Phys., Part 1 	Japanese Journal of Applied Physics Part 1
Jpn. J. Appl. Phys., Part 2 	Japanese Journal of Applied Physics Part 2
Jpn. J. Cancer Res. 	Japanese Journal of Cancer Research
Jpn. J. Pharmacol. 	Japanese Journal of Pharmacology
Jpn. J. Toxicol. Environ. Health 	Japanese Journal of toxicology and Environment health
JSME Int J., Ser. A 	JSME International Journal Series A: Mechanics and Material Engineering
JSME Int J., Ser. B 	JSME International Journal Series B: Fluids and Thermal Engineering
JSME Int J., Ser. C 	JSME International Journal Series C: Mechanical Systems Machine Elements and Manufacturing
 	 
K	Back to Top
Kautsch. Gummi Kunstst. 	Kautschuk Gummi Kunststoffe
Key Eng. Mater. 	Key Engineering Materials
Khim. Fiz. 	Khimicheskaya Fizika
Kinet. Catal. 	Kinetics and Catalysis
Kinet. Katal. 	Kinetika i Kataliz
Kolloidn Zh 	Kolloidn Zhurnal
Koord. Khim. 	Koordinatsionnaya Khimiya (Russian Journal of Coordination Chemistry)
Korean J. Chem. Eng. 	Korean Journal of Chemical Engineering
Kovove Mater. 	Kovove Materialy Metallic Materials
 	 
L	Back to Top
Lab. Autom. Inf. Manage. 	Laboratory Automation and Information Management
Lab. Invest. 	Laboratory Investigation
Lab. Rob. Autom. 	Laboratory Robotics and Automation
Laser Chem. 	Laser Chemistry
LC-GC 	LC-GC The Magazine of Separation Science
Lett. Appl. Microbiol. 	Letters in Applied Microbiology
Lett. Pept. Sci. 	Letters in Peptide Science
Liebigs Ann. Chem. 	Liebigs Annalen der Chemie
Liebigs Ann. Recl. 	Liebigs Annalen - Recueil
Life Sci. 	Life Sciences
Liq. Cryst. 	Liquid Crystals
Lubr. Eng. 	Lubrication Engineering
Lubr. Sci. 	Lubrication Science
 	 
M	Back to Top
Macromol. Chem. Phys. 	Macromolecular Chemistry and Physics
Macromol. Rapid Commun. 	Macromolecular Rapid Communications
Macromol. Symp. 	Macromolecular Symposium
Macromol. Theory Simul. 	Macromolecular Theory and Simulations
